"protein","ism_activator_ratio","ism_repressor_ratio","isa_activator_ratio","isa_repressor_ratio","ism_defined","isa_defined"
"NFIX",0.171140939597315,0.157718120805369,0.51006711409396,0.463087248322148,"unknown","activator"
"NFKB1",0.138613861386139,0.0858085808580858,0.386138613861386,0.564356435643564,"unknown","repressor"
"NFKB2",0.162011173184358,0.131284916201117,0.349162011173184,0.600558659217877,"unknown","repressor"
"NFYA",0.269430051813472,0.196891191709845,0.821761658031088,0.166839378238342,"unknown","activator"
"NFYB",0.208173690932312,0.145593869731801,0.827586206896552,0.164750957854406,"unknown","activator"
"NFYC",0.265328874024526,0.190635451505017,0.833890746934225,0.153846153846154,"unknown","activator"
"NR1D1",0.146496815286624,0.165605095541401,0.515923566878981,0.426751592356688,"unknown","activator"
"NR1D2",0.174311926605505,0.146788990825688,0.559633027522936,0.357798165137615,"unknown","activator"
"NR1H2",0.152631578947368,0.184210526315789,0.552631578947368,0.352631578947368,"unknown","activator"
"NR1H2::RXRA",0.0789473684210526,0.210526315789474,0.75,0.223684210526316,"unknown","activator"
"NR1H3::RXRA",0.136612021857924,0.147540983606557,0.475409836065574,0.371584699453552,"unknown","unknown"
"NR2C1",0.165775401069519,0.128342245989305,0.588235294117647,0.352941176470588,"unknown","activator"
"NR2C2",0.141993957703928,0.16012084592145,0.613293051359517,0.358006042296073,"unknown","activator"
"NR2F2",0.161073825503356,0.181208053691275,0.610738255033557,0.308724832214765,"unknown","activator"
"NR2F6",0.114942528735632,0.200328407224959,0.54679802955665,0.371100164203612,"unknown","activator"
"NR3C1",0.0298507462686567,0.223880597014925,0.462686567164179,0.477611940298507,"unknown","unknown"
"NR4A1",0.189873417721519,0.158227848101266,0.632911392405063,0.253164556962025,"unknown","activator"
"NR4A2",0.266666666666667,0.2,0.558333333333333,0.341666666666667,"unknown","activator"
"NR4A2::RXRA",0.0970873786407767,0.203883495145631,0.495145631067961,0.446601941747573,"unknown","unknown"
"NR6A1",0.124183006535948,0.196078431372549,0.647058823529412,0.320261437908497,"unknown","activator"
"NRF1",0.189429763560501,0.168011126564673,0.863143254520167,0.134909596662031,"unknown","activator"
"NRL",0.156626506024096,0.168674698795181,0.493975903614458,0.433734939759036,"unknown","unknown"
"ONECUT2",0.1,0.1,0.8,0.2,"unknown","activator"
"OSR2",0.142292490118577,0.134387351778656,0.569169960474308,0.351778656126482,"unknown","activator"
"PATZ1",0.188293265641332,0.154546812005376,0.633193967448111,0.355980289681947,"unknown","activator"
"PAX6",0.217391304347826,0.217391304347826,0.521739130434783,0.41304347826087,"unknown","activator"
"PAX9",0.0967741935483871,0.17741935483871,0.741935483870968,0.241935483870968,"unknown","activator"
"PBX2",0.130952380952381,0.142857142857143,0.345238095238095,0.535714285714286,"unknown","repressor"
"PBX3",0.206030150753769,0.183417085427136,0.552763819095477,0.417085427135678,"unknown","activator"
"PKNOX1",0.161290322580645,0.158064516129032,0.525806451612903,0.429032258064516,"unknown","activator"
"PLAG1",0.169195751138088,0.203338391502276,0.521244309559939,0.455235204855842,"unknown","activator"
"PLAGL1",0.148247978436658,0.119946091644205,0.454177897574124,0.505390835579515,"unknown","repressor"
"PLAGL2",0.202312138728324,0.260115606936416,0.326589595375723,0.615606936416185,"unknown","repressor"
"POU2F1",0.12568306010929,0.169398907103825,0.426229508196721,0.530054644808743,"unknown","repressor"
"POU4F1",0.127272727272727,0.187878787878788,0.296969696969697,0.612121212121212,"unknown","repressor"
"POU5F1",0.197530864197531,0.164609053497942,0.366255144032922,0.547325102880658,"unknown","repressor"
"POU6F1",0.217391304347826,0.253623188405797,0.369565217391304,0.536231884057971,"unknown","repressor"
"POU6F2",0.274509803921569,0.215686274509804,0.392156862745098,0.470588235294118,"unknown","unknown"
"PPARA::RXRA",0.152631578947368,0.152631578947368,0.668421052631579,0.305263157894737,"unknown","activator"
"PPARD",0.092,0.156,0.696,0.28,"unknown","activator"
"PRDM15",0.11231884057971,0.16304347826087,0.507246376811594,0.438405797101449,"unknown","activator"
"PRDM4",0.142011834319527,0.124260355029586,0.662721893491124,0.284023668639053,"unknown","activator"
"RARA",0.142857142857143,0.170068027210884,0.527210884353742,0.404761904761905,"unknown","activator"
"RARA::RXRA",0.137055837563452,0.177664974619289,0.512690355329949,0.401015228426396,"unknown","activator"
"RARG",0.132762312633833,0.139186295503212,0.501070663811563,0.404710920770878,"unknown","activator"
"RBPJ",0.231660231660232,0.243243243243243,0.474903474903475,0.467181467181467,"unknown","unknown"
"REL",0.190938511326861,0.271844660194175,0.466019417475728,0.469255663430421,"unknown","unknown"
"RELA",0.186619718309859,0.274647887323944,0.485915492957746,0.426056338028169,"unknown","unknown"
"REST",0.0754716981132075,0.150943396226415,0.490566037735849,0.462264150943396,"unknown","unknown"
"RFX1",0.140909090909091,0.122727272727273,0.624242424242424,0.356060606060606,"unknown","activator"
"RFX2",0.128358208955224,0.117910447761194,0.634328358208955,0.350746268656716,"unknown","activator"
"RFX3",0.139296187683284,0.127565982404692,0.618768328445748,0.363636363636364,"unknown","activator"
"RFX5",0.144300144300144,0.126984126984127,0.616161616161616,0.365079365079365,"unknown","activator"
"RFX7",0.171428571428571,0.257142857142857,0.742857142857143,0.2,"unknown","activator"
"RREB1",0.16944345976604,0.149946827366182,0.536689117334279,0.434597660404112,"unknown","activator"
"RUNX1",0.194312796208531,0.194312796208531,0.535545023696682,0.374407582938389,"unknown","activator"
"RXRA",0.104,0.244,0.712,0.24,"unknown","activator"
"RXRA::VDR",0.0980392156862745,0.0980392156862745,0.470588235294118,0.431372549019608,"unknown","unknown"
"RXRB",0.12280701754386,0.197994987468672,0.674185463659148,0.283208020050125,"unknown","activator"
"SIX4",0.198630136986301,0.171232876712329,0.5,0.417808219178082,"unknown","unknown"
"SMAD2",0.234848484848485,0.265151515151515,0.401515151515151,0.515151515151515,"unknown","repressor"
"SMAD3",0.151515151515152,0.272727272727273,0.363636363636364,0.575757575757576,"unknown","repressor"
"SMAD5",0.28125,0.25,0.5,0.46875,"unknown","unknown"
"SNAI1",0.205521472392638,0.291411042944785,0.334355828220859,0.610429447852761,"unknown","repressor"
"SNAI3",0.183823529411765,0.301470588235294,0.227941176470588,0.691176470588235,"unknown","repressor"
"SOHLH2",0.2578125,0.28125,0.625,0.359375,"unknown","activator"
"SOX12",0.142857142857143,0.2,0.571428571428571,0.4,"unknown","activator"
"SOX5",0.127450980392157,0.137254901960784,0.558823529411765,0.343137254901961,"unknown","activator"
"SOX6",0.201117318435754,0.223463687150838,0.46927374301676,0.458100558659218,"unknown","unknown"
"SP1",0.199891598915989,0.16520325203252,0.688346883468835,0.304932249322493,"unknown","activator"
"SP2",0.20282441899255,0.160013343711776,0.673301456688536,0.318914711442233,"unknown","activator"
"SP3",0.167856489108548,0.133992311916529,0.70895112575508,0.282628592348526,"unknown","activator"
"SP4",0.199891598915989,0.16520325203252,0.688346883468835,0.304932249322493,"unknown","activator"
"SP5",0.240315638450502,0.224294595887135,0.535389765662363,0.438546150167384,"unknown","activator"
"SPI1",0.177100494233937,0.150741350906096,0.712520593080725,0.253706754530478,"unknown","activator"
"SREBF1",0.200385356454721,0.192678227360308,0.499036608863198,0.445086705202312,"unknown","unknown"
"SREBF2",0.230603448275862,0.174568965517241,0.730603448275862,0.230603448275862,"unknown","activator"
"SRF",0.155555555555556,0.188888888888889,0.433333333333333,0.466666666666667,"unknown","unknown"
"STAT1",0.223655913978495,0.16989247311828,0.720430107526882,0.232258064516129,"unknown","activator"
"STAT1::STAT2",0.152641878669276,0.135029354207436,0.73385518590998,0.181996086105675,"unknown","activator"
"STAT2",0.130496453900709,0.136170212765957,0.608510638297872,0.295035460992908,"unknown","activator"
"STAT3",0.238003838771593,0.155470249520154,0.708253358925144,0.247600767754319,"unknown","activator"
"STAT5A",0.18,0.134285714285714,0.602857142857143,0.308571428571429,"unknown","activator"
"STAT5A::STAT5B",0.211302211302211,0.171990171990172,0.675675675675676,0.262899262899263,"unknown","activator"
"STAT5B",0.193023255813953,0.137209302325581,0.702325581395349,0.237209302325581,"unknown","activator"
"STAT6",0.160714285714286,0.138392857142857,0.558035714285714,0.334821428571429,"unknown","activator"
"TAL1::TCF3",0.178947368421053,0.105263157894737,0.4,0.463157894736842,"unknown","unknown"
"TBP",0.158730158730159,0.0714285714285714,0.69047619047619,0.277777777777778,"unknown","activator"
"TBX18",0.133971291866029,0.15311004784689,0.430622009569378,0.473684210526316,"unknown","unknown"
"TBX19",0.123456790123457,0.0987654320987654,0.407407407407407,0.469135802469136,"unknown","unknown"
"TCF12",0.185454545454545,0.186666666666667,0.36969696969697,0.589090909090909,"unknown","repressor"
"TCF3",0.201938610662359,0.176090468497577,0.408723747980614,0.565428109854604,"unknown","repressor"
"TCF4",0.131447587354409,0.13477537437604,0.396006655574043,0.559068219633943,"unknown","repressor"
"TCF7",0.193877551020408,0.255102040816327,0.571428571428571,0.336734693877551,"unknown","activator"
"TCF7L2",0.168918918918919,0.222972972972973,0.635135135135135,0.297297297297297,"unknown","activator"
"TCFL5",0.218468468468468,0.254504504504505,0.68018018018018,0.304054054054054,"unknown","activator"
"TEAD1",0.119760479041916,0.137724550898204,0.479041916167665,0.455089820359281,"unknown","unknown"
"TEAD2",0.101910828025478,0.140127388535032,0.515923566878981,0.407643312101911,"unknown","activator"
"TEAD4",0.158333333333333,0.183333333333333,0.416666666666667,0.508333333333333,"unknown","repressor"
"TEF",0.214285714285714,0.119047619047619,0.714285714285714,0.19047619047619,"unknown","activator"
